rgn_id,,species,year,sb_sbmsy,ref
1,albacore,Thunnus alalunga,2015,,
1,albacore,Thunnus alalunga,2014,,
1,albacore,Thunnus alalunga,2013,2.86,
1,albacore,Thunnus alalunga,2012,2.56,
1,albacore,Thunnus alalunga,2011,2.97,
1,albacore,Thunnus alalunga,2010,2.91,
1,albacore,Thunnus alalunga,2009,3.2,
1,albacore,Thunnus alalunga,2008,3.1,
1,YFT,Thunnus albacares,2015,,
1,YFT,Thunnus albacares,2014,,
1,YFT,Thunnus albacares,2013,,
1,YFT,Thunnus albacares,2012,1.22,
1,YFT,Thunnus albacares,2011,1.3,
1,YFT,Thunnus albacares,2010,1.33,
1,YFT,Thunnus albacares,2009,1.46,
1,YFT,Thunnus albacares,2008,1.41,
1,BET,Thunnus obesus,2015,,
1,BET,Thunnus obesus,2014,,
1,BET,Thunnus obesus,2013,,
1,BET,Thunnus obesus,2012,0.79,
1,BET,Thunnus obesus,2011,0.86,
1,BET,Thunnus obesus,2010,0.923,
1,BET,Thunnus obesus,2009,0.982,
1,BET,Thunnus obesus,2008,1.006,
1,,Xiphias gladius,2015,,
1,,Xiphias gladius,2014,,
1,,Xiphias gladius,2013,,
1,,Xiphias gladius,2012,1.2,2014 atock assessment ISCT for West and Central North Pacific
1,,Xiphias gladius,2011,1.13,
1,,Xiphias gladius,2010,1.14,
1,,Xiphias gladius,2009,1.13,
1,,Xiphias gladius,2008,1.13,
1,striped marlin,Kajikia audax,2015,,
1,striped marlin,Kajikia audax,2014,,
1,striped marlin,Kajikia audax,2013,0.39,2015 atock assessment ISCT
1,striped marlin,Kajikia audax,2012,0.36,2016 atock assessment ISCT
1,striped marlin,Kajikia audax,2011,0.31,2017 atock assessment ISCT
1,striped marlin,Kajikia audax,2010,0.35,2018 atock assessment ISCT
1,,Kajikia audax,2009,0.34,2019 atock assessment ISCT
1,,Kajikia audax,2008,0.42,2020 atock assessment ISCT
1,,Makaira mazara,2005,1.369327491,global OHI b_bmsy
1,,Makaira mazara,2006,1.328784709,global OHI b_bmsy
1,,Makaira mazara,2007,1.281373942,global OHI b_bmsy
1,,Makaira mazara,2008,1.239129136,global OHI b_bmsy
1,,Makaira mazara,2009,1.191379862,global OHI b_bmsy
1,,Makaira mazara,2010,1.139800193,global OHI b_bmsy
2,,Makaira mazara,2015,,
1,,Makaira mazara,2014,,
1,,Makaira mazara,2013,,
1,,Makaira mazara,2012,,
1,,Makaira mazara,2011,1.29,https://www.wcpfc.int/system/files/SA-WP-09-Annex-10-Pacific-Blue-Marlin.pdf
1,,Istiompax indica,2015,,
1,,Istiompax indica,2014,,
1,,Istiompax indica,2013,,
1,,Istiompax indica,2012,,
1,,Istiompax indica,2011,,
1,,Istiompax indica,2010,1.283291943,global OHI b_bmsy
1,,Istiompax indica,2009,1.307358095,global OHI b_bmsy
1,,Istiompax indica,2008,1.34107327,global OHI b_bmsy
1,,Istiompax indica,2007,1.368152294,global OHI b_bmsy
1,,Istiompax indica,2006,1.400305878,global OHI b_bmsy
1,,Istiompax indica,2005,1.43997724,global OHI b_bmsy
1,,Acanthocybium solandri,2015,,
1,,Acanthocybium solandri,2014,,
1,,Acanthocybium solandri,2013,,
1,,Acanthocybium solandri,2012,,
1,,Acanthocybium solandri,2011,,
2,,Acanthocybium solandri,2010,1.241061162,global OHI b_bmsy
3,,Acanthocybium solandri,2009,1.304033618,global OHI b_bmsy
4,,Acanthocybium solandri,2008,1.358569516,global OHI b_bmsy
5,,Acanthocybium solandri,2007,1.392481783,global OHI b_bmsy
6,,Acanthocybium solandri,2006,1.398971497,global OHI b_bmsy
7,,Acanthocybium solandri,2005,1.383109458,global OHI b_bmsy
1,opah,Lampris guttatus,2015,,
1,,Lampris guttatus,2014,,
1,,Lampris guttatus,2013,,
1,,Lampris guttatus,2012,,
1,,Lampris guttatus,2011,,
1,mahi,Coryphaena hippurus,2015,,
1,,Coryphaena hippurus,2014,,
1,,Coryphaena hippurus,2013,,
1,,Coryphaena hippurus,2012,,
1,,Coryphaena hippurus,2011,,
1,,Istiophorus platypterus,2015,,
1,,Istiophorus platypterus,2014,,
1,,Istiophorus platypterus,2013,,
1,,Istiophorus platypterus,2012,,
1,,Istiophorus platypterus,2011,,
1,,Tetrapturus angustirostris,2015,,
1,,Tetrapturus angustirostris,2014,,
1,,Tetrapturus angustirostris,2013,,
1,,Tetrapturus angustirostris,2012,,
1,,Tetrapturus angustirostris,2011,,
1,,other,2015,,
1,,other,2014,,
1,,other,2013,,
1,,other,2012,,
1,,other,2011,,
1,,Holothuroidea (class),2015,,
1,,Holothuroidea (class),2014,,
1,,Holothuroidea (class),2013,,
1,,Holothuroidea (class),2012,,
1,,Holothuroidea (class),2011,,
1,,Panulirus (genus),2015,,
1,,Panulirus (genus),2014,,
1,,Panulirus (genus),2013,,
1,,Panulirus (genus),2012,,
1,,Panulirus (genus),2011,,
1,,Pagrus auratus,2015,,
1,,Pagrus auratus,2014,,
1,,Pagrus auratus,2013,,
1,,Pagrus auratus,2012,,
1,,Pagrus auratus,2011,,
1,,Pagrus auratus,2005,1.138532304,global OHI b_bmsy
1,,Pagrus auratus,2006,1.152901705,global OHI b_bmsy
1,,Pagrus auratus,2007,1.165686658,global OHI b_bmsy
1,,Pagrus auratus,2008,1.175441406,global OHI b_bmsy
1,,Pagrus auratus,2009,1.177841581,global OHI b_bmsy
2,,Pagrus auratus,2010,1.174537841,global OHI b_bmsy
